sample, strength_psi, length, width, height
A1, 6326.41, 1, 1, 0.5	
A2, 3220.47, 1, 1, 0.5
A3, 7434.95, 1, 1, 0.5
A4, 6652.53, 1, 1, 0.5
H1, 2219.57, 1, 1, 1
N1, 3231.11, 1, 1, 1
N2, 2267.91, 1, 1, 1
N3, 1423.71, 1, 1, 1
N4, 1372.65, 1, 1, 1
N5, 1180.81, 1, 1, 1
N6, 2661.9, 1, 1, 1
E1, 1787.78, 1, 1, 0.75
E2, 2551.04, 1, 1, 0.75
E3, 4211.31, 1, 1, 0.75
E4, 2759.99, 1, 1, 0.75
E5, 4478, 1, 1, 0.75
E6, 4416.44, 1, 1, 0.75
I1, 1627.27, 1, 1, 1
I2, 833, 1, 1, 1
I3, 1090.01, 1, 1, 1
Q1, 2805.68, 1, 1, 1
Q2, 3212.31, 1, 1, 1
Q3, 5506.66, 1, 1, 1
Q4, 4231.31, 1, 1, 1
Q1, 2730.74, 1, 1, 1
C1, 3066.43, 1, 1, 1
C2, 3196.71, 1, 1, 1
C3, 4206.53, 1, 1, 1
C4, 4846.3, 1, 1, 1
C5, 4939.78, 1, 1, 1
C6, 4069.33, 1, 1, 1
T1, 18205, 1, 1, 0.5
T2, 17250.27, 1, 1, 0.5
T3, 21496.9, 1, 1, 0.5
T4, 20080.44, 1, 1, 0.5
M1, 3198.03, 1, 1, 1
M2, 2643.61, 1, 1, 1
M3, 2845, 1, 1, 1
M4, 2312.37, 1, 1, 1
M5, 3833.06, 1, 1, 1
L1, 5383.43, 1, 1, 1
L2, 4593.32, 1, 1, 1
L3, 7605.7, 1, 1, 1
L4, 6490.72, 1, 1, 1
L5, 11175.79, 1, 1, 1
O1, 3307, 1, 1, 0.5
O2, 3087.11, 1, 1, 0.5
O3, 3250.28, 1, 1, 0.5
O4, 2942.91, 1, 1, 0.5
O5, 2775.99, 1, 1, 0.5
O6, 3085.76, 1, 1, 0.5
O7, 1748.55, 1, 1, 0.5
